# Module B v1: Dynamic-Phase Yaw Estimation and Attitude Quaternion Synthesis
# Navigation Frame: Local Tangent Plane East-North-Up (ENU)
# Body Frame: X=Right, Y=Forward, Z=Up
# Attitude Quaternion: q = [q_w, q_x, q_y, q_z] transforming v_nav = R(q) * v_body
# Units: angles in rad & deg; gyro biases in rad/s; discrepancies in deg
run_id,has_motion,yaw_rad,yaw_deg,yaw_source,pitch_rad,roll_rad,pitch_deg,roll_deg,leveling_source,gyro_bias_x_rad_s,gyro_bias_y_rad_s,gyro_bias_z_rad_s,gyro_bias_source,q_w,q_x,q_y,q_z,pca_heading_change_deg,gyro_heading_change_deg,discrepancy_deg,flag
pair_Vta1a,True,1.845868,105.76,pca_early_motion,0.0,0.0,0.0,0.0,fallback_zero,0.0,0.0,0.0,fallback_zero,0.6034833,0.0,0.0,-0.7973757,-58.946,0.507,-59.453,high_gyro_discrepancy
pair_Vta1b,True,5.897146,337.882,pca_early_motion,0.0,0.0,0.0,0.0,fallback_zero,0.0,0.0,0.0,fallback_zero,-0.9814294,0.0,0.0,-0.1918236,-7.238,-1.053,-6.184,uncalibrated_leveling
pair_Vta2,True,5.585323,320.015,pca_early_motion,-0.079337,-0.025463,-4.546,-1.459,module_a_measured,-0.00259082,0.00719796,-0.0053898,module_a_measured,-0.9387507,0.032916,0.0255123,-0.3420713,0.086,3.276,-3.19,clean_motion
pair_Vta20,True,3.917301,224.445,pca_early_motion,0.000754,-0.000389,0.043,-0.022,module_a_measured,-0.00059233,0.002146,-0.00188767,module_a_measured,-0.3782027,-0.0003226,-0.0002754,-0.9257227,16.009,11.087,4.922,clean_motion
pair_Vta21,True,0.90082,51.613,pca_early_motion,0.0,0.0,0.0,0.0,fallback_zero,0.0,0.0,0.0,fallback_zero,0.9002687,0.0,0.0,-0.4353347,0.224,-9.885,10.109,uncalibrated_leveling
pair_Vta22,True,0.446459,25.58,pca_early_motion,0.0,0.0,0.0,0.0,fallback_zero,0.0,0.0,0.0,fallback_zero,0.9751876,0.0,0.0,-0.2213799,-31.666,6.474,-38.14,high_gyro_discrepancy
pair_Vta23,True,0.668783,38.318,pca_early_motion,0.0,0.0,0.0,0.0,fallback_zero,0.0,0.0,0.0,fallback_zero,0.9446101,0.0,0.0,-0.3281946,-17.924,-11.362,-6.563,uncalibrated_leveling
pair_Vta24,True,1.026827,58.833,pca_early_motion,0.0,0.0,0.0,0.0,fallback_zero,0.0,0.0,0.0,fallback_zero,0.8710731,0.0,0.0,-0.4911535,-4.516,-3.081,-1.436,uncalibrated_leveling
pair_Vta25,True,1.703176,97.585,pca_early_motion,-0.015744,-0.039115,-0.902,-2.241,module_a_measured,0.00263913,-0.02316739,0.01212174,module_a_measured,0.6587586,-0.0198972,-0.0069619,-0.752059,6.166,-0.878,7.043,clean_motion
pair_Vta26,True,4.827907,276.619,pca_early_motion,0.019553,0.001379,1.12,0.079,module_a_measured,-0.00074967,0.00058,-0.00032133,module_a_measured,-0.7467062,-0.0068419,-0.0070172,-0.6650818,2.593,0.543,2.051,clean_motion
pair_Vta27,True,6.268009,359.13,pca_early_motion,0.026468,0.004486,1.517,0.257,module_a_measured,-0.00097241,0.00873879,-0.00483534,module_a_measured,-0.9998809,-0.0132162,-0.0023432,-0.0076169,3.676,0.046,3.629,clean_motion
pair_Vta28,True,5.74182,328.982,pca_early_motion,-0.001789,0.02789,-0.103,1.598,module_a_measured,0.00037711,-0.00622048,0.00395422,module_a_measured,-0.9634979,0.0045905,-0.0131976,-0.2673511,0.588,-5.477,6.065,clean_motion
pair_Vta29,True,4.556658,261.077,pca_early_motion,-0.052083,0.021386,-2.984,1.225,module_a_measured,-0.00202833,-0.00851333,0.00437,module_a_measured,-0.6499147,0.0250465,0.0128398,-0.7594858,16.488,1.004,15.484,clean_motion
pair_Vta3,True,4.71125,269.935,pca_early_motion,-0.038185,0.042485,-2.188,2.434,module_a_measured,-0.004326,-0.009378,-0.002688,module_a_measured,-0.7067026,0.0285143,-0.001504,-0.7069343,63.198,0.595,62.603,high_gyro_discrepancy
pair_Vta30,True,0.001581,0.091,pca_early_motion,-0.002703,0.003435,-0.155,0.197,module_a_measured,-0.00011,0.00463067,-0.00259733,module_a_measured,0.9999973,-0.0013501,0.0017186,-0.0007929,0.42,-3.573,3.993,clean_motion
pair_Vta4,True,1.231639,70.568,pca_early_motion,0.0,0.0,0.0,0.0,fallback_zero,0.0,0.0,0.0,fallback_zero,0.8163003,0.0,0.0,-0.5776277,-17.228,-1.927,-15.301,uncalibrated_leveling
pair_Vta5,True,5.807136,332.724,pca_early_motion,0.0,0.0,0.0,0.0,fallback_zero,0.0,0.0,0.0,fallback_zero,-0.9718056,0.0,0.0,-0.2357836,1.315,2.361,-1.046,uncalibrated_leveling
pair_Vta6,True,6.153029,352.543,pca_early_motion,0.0,0.0,0.0,0.0,fallback_zero,0.0,0.0,0.0,fallback_zero,-0.9978831,0.0,0.0,-0.0650325,-0.729,2.024,-2.753,uncalibrated_leveling
pair_Vta7,True,6.064577,347.475,pca_early_motion,0.0,0.0,0.0,0.0,fallback_zero,0.0,0.0,0.0,fallback_zero,-0.9940323,0.0,0.0,-0.1090866,4.779,-2.63,7.41,uncalibrated_leveling
pair_Vta8,True,0.170056,9.744,pca_early_motion,0.0,0.0,0.0,0.0,fallback_zero,0.0,0.0,0.0,fallback_zero,0.9963873,0.0,0.0,-0.0849258,2.321,-1.298,3.619,uncalibrated_leveling
pair_Vta9,True,4.690666,268.755,pca_early_motion,0.0,0.0,0.0,0.0,fallback_zero,0.0,0.0,0.0,fallback_zero,-0.6993849,0.0,0.0,-0.7147453,-0.147,4.587,-4.734,uncalibrated_leveling
pair_Vtb1,True,2.968953,170.108,pca_early_motion,0.001987,0.00055,0.114,0.032,module_a_measured,0.00026367,0.00229867,-0.00043767,module_a_measured,0.0862131,0.0003596,-0.0009661,-0.9962762,9.137,2.882,6.255,clean_motion
pair_Vtb10,True,1.975266,113.174,pca_early_motion,0.0,0.0,0.0,0.0,fallback_zero,0.0,0.0,0.0,fallback_zero,0.5506674,0.0,0.0,-0.8347248,-4.206,6.259,-10.465,uncalibrated_leveling
pair_Vtb11,True,2.024551,115.998,pca_early_motion,0.0,0.0,0.0,0.0,fallback_zero,0.0,0.0,0.0,fallback_zero,0.5299325,0.0,0.0,-0.8480398,-0.679,-3.245,2.566,uncalibrated_leveling
pair_Vtb12,True,2.014629,115.43,pca_early_motion,0.0,0.0,0.0,0.0,fallback_zero,0.0,0.0,0.0,fallback_zero,0.5341328,0.0,0.0,-0.8454006,-0.533,-4.208,3.675,uncalibrated_leveling
pair_Vtb2,True,3.239969,185.637,pca_early_motion,-0.003885,0.000528,-0.223,0.03,module_a_measured,0.00112269,0.00899076,-8.908e-05,module_a_measured,-0.0491689,0.0003592,0.0019272,-0.9987886,26.008,-8.414,34.422,high_gyro_discrepancy
pair_Vtb3,True,2.361318,135.294,pca_early_motion,-0.014875,-0.017737,-0.852,-1.016,module_a_measured,-0.00184833,0.00608233,-0.002127,module_a_measured,0.3803508,-0.0110302,0.0035056,-0.9247699,0.659,12.776,-12.117,clean_motion
pair_Vtb4,True,5.457718,312.704,pca_early_motion,0.0,0.0,0.0,0.0,fallback_zero,0.0,0.0,0.0,fallback_zero,-0.9160278,0.0,0.0,-0.4011148,-2.905,-9.909,7.005,uncalibrated_leveling
pair_Vtb5,True,3.749243,214.816,pca_early_motion,-0.011435,0.000213,-0.655,0.012,module_a_measured,0.00020792,-0.00155941,0.00206436,module_a_measured,-0.2991682,0.0018121,0.0054237,-0.9541832,-12.874,1.599,-14.472,clean_motion
pair_Vtb6,True,2.286262,130.993,pca_early_motion,0.0,0.0,0.0,0.0,fallback_zero,0.0,0.0,0.0,fallback_zero,0.4147473,0.0,0.0,-0.9099366,0.344,-16.616,16.961,uncalibrated_leveling
pair_Vtb7,True,2.142221,122.74,pca_early_motion,0.0,0.0,0.0,0.0,fallback_zero,0.0,0.0,0.0,fallback_zero,0.4791496,0.0,0.0,-0.8777332,-7.654,-7.392,-0.262,uncalibrated_leveling
pair_Vtb8,True,2.015907,115.503,pca_early_motion,0.0,0.0,0.0,0.0,fallback_zero,0.0,0.0,0.0,fallback_zero,0.5335925,0.0,0.0,-0.8457417,-0.358,4.232,-4.59,uncalibrated_leveling
pair_Vtb9,True,2.021686,115.834,pca_early_motion,0.0,0.0,0.0,0.0,fallback_zero,0.0,0.0,0.0,fallback_zero,0.5311466,0.0,0.0,-0.8472799,-0.468,1.935,-2.403,uncalibrated_leveling
pair_Vw1,False,,,none_parked,-0.04155,-0.121358,-2.381,-6.953,module_a_measured,-0.00892419,-0.00739678,0.00335645,module_a_measured,,,,,0.0,0.0,0.0,no_motion_found
pair_Vw10,True,1.52705,87.494,pca_early_motion,0.0,0.0,0.0,0.0,fallback_zero,0.0,0.0,0.0,fallback_zero,0.7224031,0.0,0.0,-0.6914722,-7.955,-1.88,-6.075,uncalibrated_leveling
pair_Vw11,True,2.381681,136.46,pca_early_motion,0.003983,-0.015554,0.228,-0.891,module_a_measured,3.767e-05,0.004374,-0.002566,module_a_measured,0.3708531,-0.0064837,-0.0047337,-0.9286569,-5.571,-3.571,-2.0,clean_motion
pair_Vw12,True,0.360417,20.65,pca_early_motion,0.0,0.0,0.0,0.0,fallback_zero,0.0,0.0,0.0,fallback_zero,0.9838063,0.0,0.0,-0.1792349,0.165,5.172,-5.006,uncalibrated_leveling
pair_Vw13,True,0.212242,12.161,pca_early_motion,0.0,0.0,0.0,0.0,fallback_zero,0.0,0.0,0.0,fallback_zero,0.9943745,0.0,0.0,-0.1059218,-0.698,5.713,-6.411,uncalibrated_leveling
pair_Vw14a,True,6.004024,344.005,pca_early_motion,0.0,0.0,0.0,0.0,fallback_zero,0.0,0.0,0.0,fallback_zero,-0.9902744,0.0,0.0,-0.1391279,-1.593,11.915,-13.508,uncalibrated_leveling
pair_Vw14b,True,0.275948,15.811,pca_early_motion,0.0,0.0,0.0,0.0,fallback_zero,0.0,0.0,0.0,fallback_zero,0.9904967,0.0,0.0,-0.1375366,-0.685,0.603,-1.288,uncalibrated_leveling
pair_Vw14c,True,6.073484,347.985,pca_early_motion,0.024679,-0.038775,1.414,-2.222,module_a_measured,-0.00100687,-0.00359725,0.00144433,module_a_measured,-0.9942707,-0.0142979,0.0179872,-0.1043929,-0.561,7.525,-8.086,clean_motion
pair_Vw15,False,,,none_parked,-0.000517,-0.00069,-0.03,-0.04,module_a_measured,-0.000812,0.00324867,-0.001352,module_a_measured,,,,,0.0,0.0,0.0,no_motion_found
pair_Vw16a,True,3.26978,187.345,pca_early_motion,-0.008775,-0.001246,-0.503,-0.071,module_a_measured,0.00133793,0.00159655,0.00082069,module_a_measured,-0.0640465,-0.0003407,0.0044184,-0.9979371,-5.994,9.686,-15.68,clean_motion
pair_Vw16b,True,2.023236,115.923,pca_early_motion,0.0,0.0,0.0,0.0,fallback_zero,0.0,0.0,0.0,fallback_zero,0.53049,0.0,0.0,-0.8476912,0.084,-5.164,5.249,uncalibrated_leveling
pair_Vw17,True,2.033453,116.508,pca_early_motion,0.0,0.0,0.0,0.0,fallback_zero,0.0,0.0,0.0,fallback_zero,0.5261527,0.0,0.0,-0.8503901,0.289,1.514,-1.225,uncalibrated_leveling
pair_Vw2,True,5.596607,320.662,pca_early_motion,0.002023,-0.001609,0.116,-0.092,module_a_measured,-0.00412424,-0.00266566,-0.00223838,module_a_measured,-0.9416522,-0.0012233,0.0004171,-0.336585,20.758,-6.94,27.699,high_gyro_discrepancy
pair_Vw3,True,4.125537,236.376,pca_early_motion,-0.017754,0.003322,-1.017,0.19,module_a_measured,-0.0011625,0.0075975,-0.003745,module_a_measured,-0.4723588,0.0056571,0.0070395,-0.8813601,-4.803,-10.266,5.463,clean_motion
pair_Vw4,True,4.1815,239.582,pca_early_motion,-0.024174,-0.023982,-1.385,-1.374,module_a_measured,-0.00035959,0.0002049,0.00038408,module_a_measured,-0.4966422,-0.0044006,0.0164456,-0.8677884,-12.029,-7.608,-4.421,clean_motion
pair_Vw5,True,5.225462,299.397,pca_early_motion,0.0,0.0,0.0,0.0,fallback_zero,0.0,0.0,0.0,fallback_zero,-0.8633819,0.0,0.0,-0.504551,16.592,11.213,5.379,uncalibrated_leveling
pair_Vw6,True,1.507532,86.375,pca_early_motion,0.0,0.0,0.0,0.0,fallback_zero,0.0,0.0,0.0,fallback_zero,0.7291165,0.0,0.0,-0.6843896,-8.703,-1.945,-6.759,uncalibrated_leveling
pair_Vw7,True,4.762922,272.895,pca_early_motion,0.0,0.0,0.0,0.0,fallback_zero,0.0,0.0,0.0,fallback_zero,-0.7247454,0.0,0.0,-0.6890168,-6.302,-2.29,-4.012,uncalibrated_leveling
pair_Vw8,True,4.479722,256.669,pca_early_motion,0.0,0.0,0.0,0.0,fallback_zero,0.0,0.0,0.0,fallback_zero,-0.6202526,0.0,0.0,-0.7844022,0.966,-8.052,9.018,uncalibrated_leveling
pair_Vw9,True,4.538676,260.047,pca_early_motion,0.0,0.0,0.0,0.0,fallback_zero,0.0,0.0,0.0,fallback_zero,-0.6431016,0.0,0.0,-0.7657808,-0.455,-11.335,10.88,uncalibrated_leveling
pair_Y1,True,5.211849,298.617,pca_early_motion,0.003247,0.000535,0.186,0.031,module_a_measured,-0.0025,-0.0021,0.00104737,module_a_measured,-0.8599264,-0.0012596,-0.0010587,-0.5104155,-5.686,0.044,-5.729,clean_motion
