# Module A v1: Static-Phase Attitude and Gyroscope Bias Calibration
# Coordinate Frame: ENU navigation, Body X=Right, Y=Forward, Z=Up
# Leveling: pitch = atan2(fy, sqrt(fx^2 + fz^2)), roll = atan2(-fx, fz)
# Units: pitch/roll in rad & deg; gyro biases in rad/s & deg/s; accel in m/s^2
run_id,window_found,start_s,end_s,duration_s,pitch_rad,roll_rad,pitch_deg,roll_deg,gyro_bias_x_rad_s,gyro_bias_y_rad_s,gyro_bias_z_rad_s,gyro_bias_x_deg_s,gyro_bias_y_deg_s,gyro_bias_z_deg_s,accel_mean_x_m_s2,accel_mean_y_m_s2,accel_mean_z_m_s2,accel_norm_m_s2,flag
pair_Vta25,True,12.7,17.2,4.5,-0.015744,-0.039115,-0.902,-2.241,0.00263913,-0.02316739,0.01212174,0.1512,-1.3274,0.6945,0.3847,-0.1549,9.8289,9.8377,short_window
pair_Vta26,True,79.9,109.8,29.9,0.019553,0.001379,1.12,0.079,-0.00074967,0.00058,-0.00032133,-0.043,0.0332,-0.0184,-0.0136,0.1926,9.8501,9.852,mid_trip_stop
pair_Vta27,True,9.5,21.0,11.5,0.026468,0.004486,1.517,0.257,-0.00097241,0.00873879,-0.00483534,-0.0557,0.5007,-0.277,-0.0442,0.261,9.859,9.8626,mid_trip_stop
pair_Vta28,True,76.8,93.3,16.5,-0.001789,0.02789,-0.102,1.598,0.00037711,-0.00622048,0.00395422,0.0216,-0.3564,0.2266,-0.2742,-0.0176,9.8281,9.8319,mid_trip_stop
pair_Vta29,True,47.3,53.2,5.9,-0.052083,0.021386,-2.984,1.225,-0.00202833,-0.00851333,0.00437,-0.1162,-0.4878,0.2504,-0.2107,-0.5137,9.8518,9.8674,mid_trip_stop
pair_Vta3,True,11.7,16.6,4.9,-0.038185,0.042485,-2.188,2.434,-0.004326,-0.009378,-0.002688,-0.2479,-0.5373,-0.154,-0.4188,-0.3767,9.8524,9.8685,short_window
pair_Vta30,True,401.1,431.0,29.9,-0.002703,0.003435,-0.155,0.197,-0.00011,0.00463067,-0.00259733,-0.0063,0.2653,-0.1488,-0.0339,-0.0267,9.8657,9.8658,mid_trip_stop
pair_Vta4,False,,,0.0,,,,,,,,,,,,,,,no_window_found
pair_Vta5,False,,,0.0,,,,,,,,,,,,,,,no_window_found
pair_Vta6,False,,,0.0,,,,,,,,,,,,,,,no_window_found
pair_Vta7,False,,,0.0,,,,,,,,,,,,,,,no_window_found
pair_Vta8,False,,,0.0,,,,,,,,,,,,,,,no_window_found
pair_Vta9,False,,,0.0,,,,,,,,,,,,,,,no_window_found
pair_Vtb1,True,0.0,29.9,29.9,0.001987,0.00055,0.114,0.031,0.00026367,0.00229867,-0.00043767,0.0151,0.1317,-0.0251,-0.0054,0.0196,9.8544,9.8544,clean_initial
pair_Vtb10,False,,,0.0,,,,,,,,,,,,,,,no_window_found
pair_Vtb11,False,,,0.0,,,,,,,,,,,,,,,no_window_found
pair_Vtb12,False,,,0.0,,,,,,,,,,,,,,,no_window_found
pair_Vtb2,True,0.0,11.8,11.8,-0.003885,0.000528,-0.223,0.03,0.00112269,0.00899076,-8.908e-05,0.0643,0.5151,-0.0051,-0.0052,-0.0383,9.861,9.8611,clean_initial
pair_Vtb3,True,43.5,73.4,29.9,-0.014875,-0.017737,-0.852,-1.016,-0.00184833,0.00608233,-0.002127,-0.1059,0.3485,-0.1219,0.1749,-0.1467,9.8594,9.8621,mid_trip_stop
pair_Vtb4,False,,,0.0,,,,,,,,,,,,,,,no_window_found
pair_Vtb5,True,6.3,16.3,10.0,-0.011435,0.000213,-0.655,0.012,0.00020792,-0.00155941,0.00206436,0.0119,-0.0893,0.1183,-0.0021,-0.1125,9.8355,9.8362,mid_trip_stop
pair_Vtb6,False,,,0.0,,,,,,,,,,,,,,,no_window_found
pair_Vtb7,False,,,0.0,,,,,,,,,,,,,,,no_window_found
pair_Vtb8,False,,,0.0,,,,,,,,,,,,,,,no_window_found
pair_Vtb9,False,,,0.0,,,,,,,,,,,,,,,no_window_found
pair_Vw1,True,0.0,6.1,6.1,-0.04155,-0.121358,-2.381,-6.953,-0.00892419,-0.00739678,0.00335645,-0.5113,-0.4238,0.1923,1.1877,-0.4079,9.7383,9.8189,parked_run
pair_Vw10,False,,,0.0,,,,,,,,,,,,,,,no_window_found
pair_Vw11,True,69.5,99.4,29.9,0.003983,-0.015554,0.228,-0.891,3.767e-05,0.004374,-0.002566,0.0022,0.2506,-0.147,0.1532,0.0392,9.8492,9.8504,mid_trip_stop
pair_Vw12,False,,,0.0,,,,,,,,,,,,,,,no_window_found
pair_Vw13,False,,,0.0,,,,,,,,,,,,,,,no_window_found
pair_Vw14a,False,,,0.0,,,,,,,,,,,,,,,no_window_found
pair_Vw14b,False,,,0.0,,,,,,,,,,,,,,,no_window_found
pair_Vw14c,True,104.4,133.4,29.0,0.024679,-0.038775,1.414,-2.222,-0.00100687,-0.00359725,0.00144433,-0.0577,-0.2061,0.0828,0.3818,0.2431,9.8422,9.8527,mid_trip_stop
pair_Vw15,True,0.0,29.9,29.9,-0.000517,-0.00069,-0.03,-0.04,-0.000812,0.00324867,-0.001352,-0.0465,0.1861,-0.0775,0.0068,-0.0051,9.845,9.845,parked_run
pair_Vw16a,True,10.5,19.1,8.6,-0.008775,-0.001246,-0.503,-0.071,0.00133793,0.00159655,0.00082069,0.0767,0.0915,0.047,0.0123,-0.0865,9.862,9.8624,mid_trip_stop
pair_Vw16b,False,,,0.0,,,,,,,,,,,,,,,no_window_found
pair_Vw17,False,,,0.0,,,,,,,,,,,,,,,no_window_found
pair_Vw2,True,0.0,9.8,9.8,0.002023,-0.001609,0.116,-0.092,-0.00412424,-0.00266566,-0.00223838,-0.2363,-0.1527,-0.1282,0.0159,0.0199,9.8527,9.8527,clean_initial
pair_Vw3,True,377.6,381.5,3.9,-0.017754,0.003322,-1.017,0.19,-0.0011625,0.0075975,-0.003745,-0.0666,0.4353,-0.2146,-0.0327,-0.1751,9.8596,9.8612,short_window
pair_Vw4,True,42.1,66.5,24.4,-0.024174,-0.023982,-1.385,-1.374,-0.00035959,0.0002049,0.00038408,-0.0206,0.0117,0.022,0.2364,-0.2384,9.8551,9.8609,mid_trip_stop
pair_Vw5,False,,,0.0,,,,,,,,,,,,,,,no_window_found
pair_Vw6,False,,,0.0,,,,,,,,,,,,,,,no_window_found
pair_Vw7,False,,,0.0,,,,,,,,,,,,,,,no_window_found
pair_Vw8,False,,,0.0,,,,,,,,,,,,,,,no_window_found
pair_Vw9,False,,,0.0,,,,,,,,,,,,,,,no_window_found
pair_Y1,True,29.5,33.2,3.7,0.003247,0.000535,0.186,0.031,-0.0025,-0.0021,0.00104737,-0.1432,-0.1203,0.06,-0.0052,0.0318,9.7815,9.7816,short_window
